"Height","Weight"
73.847017017515,241.893563180437
68.7819040458903,162.310472521300
74.1101053917849,212.7408555565
71.7309784033377,220.042470303077
69.8817958611153,206.349800623871
67.2530156878065,152.212155757083
68.7850812516616,183.927888604031
68.3485155115879,167.971110489509
67.018949662883,175.92944039571
63.4564939783664,156.399676387112
71.1953822829745,186.604925560358
71.6408051192206,213.741169489411
64.7663291334055,167.127461073476
69.2830700967204,189.446181386738
69.2437322298112,186.434168021239
67.6456197004212,172.186930058117
72.4183166259878,196.028506330482
63.974325721061,172.883470208780
69.6400598997523,185.983957573130
